"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.615903759E2,6.356085002E1,2.704313441E1,9.306873543E1,1.029999971E0,2.506000061E2,3.790092468E0,2.500000000E0
1.625925431E2,6.356084614E1,2.704311168E1,9.312445724E1,1.139999986E0,2.495000000E2,3.790092468E0,2.500000000E0
1.635914176E2,6.356084292E1,2.704308701E1,9.319787934E1,1.210000038E0,2.565000000E2,3.790092468E0,2.500000000E0
1.645902066E2,6.356084216E1,2.704306373E1,9.358868531E1,1.190000057E0,2.620000000E2,3.790092468E0,2.500000000E0
1.655914059E2,6.356084163E1,2.704303970E1,9.387737949E1,1.220000029E0,2.613999939E2,3.790092468E0,2.500000000E0
1.665917959E2,6.356084183E1,2.704301202E1,9.412145696E1,1.370000005E0,2.627999878E2,3.790092468E0,2.500000000E0
1.675914637E2,6.356084086E1,2.704298420E1,9.397905936E1,1.360000014E0,2.611000061E2,3.790092468E0,2.500000000E0
1.685906102E2,6.356083887E1,2.704295780E1,9.339250866E1,1.320000052E0,2.587999878E2,3.790092468E0,2.500000000E0
1.695906123E2,6.356083623E1,2.704293079E1,9.346721253E1,1.360000014E0,2.602999878E2,3.790092468E0,2.500000000E0
1.705904876E2,6.356083329E1,2.704290137E1,9.349131796E1,1.450000048E0,2.597000122E2,3.790092468E0,2.500000000E0
1.715907605E2,6.356082994E1,2.704287070E1,9.365794022E1,1.460000038E0,2.591000061E2,3.790092468E0,2.500000000E0
1.725923896E2,6.356082689E1,2.704284013E1,9.367990928E1,1.450000048E0,2.576000061E2,3.790092468E0,2.500000000E0
1.735906903E2,6.356082411E1,2.704281029E1,9.356619736E1,1.460000038E0,2.561000061E2,3.790092468E0,2.500000000E0
1.745918072E2,6.356082068E1,2.704278231E1,9.369027830E1,1.370000005E0,2.545000000E2,3.790092468E0,2.500000000E0
1.755940712E2,6.356081667E1,2.704275560E1,9.386385863E1,1.450000048E0,2.536000061E2,3.790092468E0,2.500000000E0
1.765898140E2,6.356081316E1,2.704272730E1,9.384090582E1,1.419999957E0,2.545000000E2,3.790092468E0,2.500000000E0
1.775914581E2,6.356080848E1,2.704269802E1,9.383235678E1,1.409999967E0,2.513000031E2,3.790092468E0,2.500000000E0
1.785904707E2,6.356080391E1,2.704266834E1,9.398085121E1,1.500000000E0,2.531999969E2,3.790092468E0,2.500000000E0
1.795907256E2,6.356080010E1,2.704263780E1,9.366645524E1,1.389999986E0,2.548999939E2,3.790092468E0,2.500000000E0
1.805916438E2,6.356079514E1,2.704260931E1,9.347718106E1,1.389999986E0,2.506999969E2,3.790092468E0,2.500000000E0
1.815924260E2,6.356078958E1,2.704257895E1,9.348248658E1,1.490000010E0,2.518000031E2,3.790092468E0,2.500000000E0
1.825897796E2,6.356078504E1,2.704254761E1,9.359558050E1,1.460000038E0,2.538999939E2,3.790092468E0,2.500000000E0
1.835893560E2,6.356077995E1,2.704251954E1,9.305681900E1,1.440000057E0,2.525000000E2,3.790092468E0,2.500000000E0
1.845901509E2,6.356077435E1,2.704249083E1,9.271990052E1,1.460000038E0,2.528999939E2,3.790092468E0,2.500000000E0
1.855910719E2,6.356077013E1,2.704246183E1,9.267662268E1,1.480000019E0,2.545000000E2,3.790092468E0,2.500000000E0
1.865901733E2,6.356076507E1,2.704243137E1,9.253031705E1,1.529999971E0,2.526999969E2,3.790092468E0,2.500000000E0
1.875896395E2,6.356075985E1,2.704240275E1,9.258463407E1,1.519999981E0,2.533000031E2,3.790092468E0,2.500000000E0
