"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.031018337E0,-4.900431633E-2,3.852844238E-4,-4.230737686E-2
1.036078337E0,-5.848467350E-2,3.685426712E-2,-1.671314240E-2
1.041138337E0,-8.681523800E-2,4.222536087E-2,7.749319077E-2
1.046198337E0,-4.369533062E-2,2.288818359E-5,1.281595230E-1
1.051258337E0,-2.008461952E-2,-6.301879883E-3,1.618399620E-1
1.056318337E0,5.592226982E-3,-2.687788010E-2,1.881332397E-1
1.061378337E0,-1.406490803E-2,-4.762077332E-2,1.955270767E-1
1.066438337E0,4.523396492E-3,-7.308673859E-2,1.626296043E-1
1.071498337E0,-1.717448235E-2,-3.906774521E-2,1.040477753E-1
1.076558337E0,-1.482033730E-2,-3.087043762E-3,6.273460388E-2
1.081618337E0,-4.483461380E-4,-3.652477264E-2,1.726961136E-2
1.086678337E0,-1.705837250E-2,-3.154277802E-3,-6.444931030E-3
1.091738337E0,-5.024862289E-2,8.618354797E-3,-1.578855515E-2
1.096798337E0,-4.747855663E-2,1.801490784E-2,9.975433350E-4
1.101858337E0,-4.959106445E-2,-1.056671143E-3,5.629539490E-3
1.106918337E0,-7.336032391E-2,1.432895660E-3,2.438068390E-2
1.111978337E0,-6.140780449E-2,-1.037836075E-2,3.109693527E-2
1.117038337E0,-1.112643480E-1,-7.740497589E-3,3.767871857E-2
1.122098337E0,-1.155703068E-1,-1.462697983E-2,5.608367920E-2
1.127158337E0,-6.050455570E-2,-1.439905167E-2,8.151388168E-2
1.132218337E0,-3.649115562E-3,-3.092718124E-2,7.118558884E-2
1.137278337E0,1.724171638E-2,-4.257583618E-2,4.198408127E-2
1.142338337E0,3.329384327E-2,-1.857900620E-2,1.550197601E-2
1.147398337E0,3.020691872E-2,1.234912872E-2,-2.501773834E-2
1.152458337E0,-1.071929932E-2,3.125858307E-2,-6.052207947E-2
1.157518337E0,-1.338601112E-3,2.639961243E-2,-4.595994949E-2
1.162578337E0,1.273274422E-2,9.726524353E-3,-7.429695129E-2
1.167638337E0,1.978147030E-2,7.565975189E-3,-9.057903290E-2
1.172698337E0,2.430593967E-2,2.452564240E-2,-8.783531189E-2
1.177758337E0,3.847348690E-2,1.011371613E-3,-9.937143326E-2
1.182818337E0,2.768993378E-3,-1.257276535E-2,-8.249092102E-2
1.187878337E0,2.697372437E-2,1.430511475E-4,-8.237648010E-2
1.192938337E0,2.731335163E-2,1.756429672E-2,-7.041931152E-2
1.197998337E0,2.080368996E-2,-1.024341583E-2,-3.953599930E-2
1.203058337E0,1.699399948E-2,-6.807327271E-3,-2.796936035E-2
1.208118337E0,1.464247704E-3,-2.489089966E-2,-1.636314392E-2
1.213178337E0,-4.962503910E-2,9.493827820E-3,1.408529282E-2
1.218238337E0,-7.194304466E-2,5.630016327E-3,7.032680511E-2
1.223298337E0,-7.528960705E-2,-1.950693130E-2,8.321571350E-2
1.228358337E0,-7.179594040E-2,-1.344966888E-2,9.582233429E-2
1.233418337E0,-3.070700169E-2,-2.406167984E-2,1.343502998E-1
1.238478337E0,-9.242177010E-3,-6.181240082E-3,1.226987839E-1
1.243538337E0,-2.839970589E-2,-2.883815765E-2,1.372642517E-1
1.248598337E0,-1.404941082E-2,-1.807641983E-2,1.446309090E-1
1.253658337E0,3.540515900E-5,6.649017334E-3,1.354589462E-1
1.258718337E0,-4.910707474E-3,-2.850914001E-2,1.147804260E-1
1.263778337E0,1.157701015E-2,5.278587341E-3,1.420102119E-1
1.268838337E0,-1.943051815E-2,1.002216339E-2,1.289081573E-1
1.273898337E0,-4.076492786E-2,2.656936646E-3,1.327009201E-1
1.278958337E0,-3.354239464E-2,-2.147626877E-2,1.033606529E-1
1.284018337E0,-5.094647408E-3,-4.072713852E-2,7.430744171E-2
1.289078337E0,-2.445673943E-2,-2.902412415E-2,5.981683731E-2
1.294138337E0,-1.042437553E-2,-2.212810516E-2,3.827524185E-2
1.299198337E0,3.522396088E-3,-1.034736633E-2,-3.314447403E-2
1.304258337E0,-1.819133759E-2,-1.987648010E-2,-3.758955002E-2
1.309318337E0,-1.826846600E-2,6.283283234E-3,-2.057600021E-2
1.314378337E0,-1.111114025E-2,3.662109375E-3,-1.787900925E-2
1.319438337E0,-2.761816978E-2,1.520013809E-2,-5.069065094E-2
1.324498337E0,-1.314079762E-2,2.765178680E-3,-7.599735260E-2
1.329558337E0,-1.284587383E-2,2.367305756E-2,-1.152806282E-1
1.334618337E0,-2.669358253E-2,2.792263031E-2,-1.377158165E-1
1.339678337E0,-5.214989185E-2,2.039003372E-2,-1.552963257E-1
1.344738337E0,-6.775915623E-2,3.674077988E-2,-1.299991608E-1
1.349798337E0,-7.622468472E-2,3.891134262E-2,-1.241421700E-1
1.354858337E0,-8.490550518E-2,6.979846954E-2,-1.186194420E-1
1.359918337E0,-6.526160240E-2,2.701997757E-2,-5.403709412E-2
1.364978337E0,-4.583728313E-2,1.089668274E-2,1.933860779E-2
1.370038337E0,-2.673900127E-2,-1.453399658E-2,3.974294662E-2
1.375098337E0,1.694202423E-3,-5.412197113E-2,5.770874023E-2
1.380158337E0,3.231966496E-2,-4.587888718E-2,1.016783714E-1
1.385218337E0,2.719902992E-2,-4.253911972E-2,9.788513184E-2
1.390278337E0,3.170824051E-2,-2.505302429E-2,5.621051788E-2
1.395338337E0,1.501095295E-2,-1.972579956E-2,7.207536697E-2
1.400398337E0,5.712389946E-3,-1.686525345E-2,5.937910080E-2
1.405458337E0,-3.670561314E-2,-2.108001709E-2,5.623531342E-2
1.410518337E0,-4.063320160E-2,-2.775669098E-2,8.177042007E-2
1.415578337E0,-8.823871613E-3,-2.244806290E-2,9.043359756E-2
1.420638337E0,-4.382836819E-2,-1.246595383E-2,1.014223099E-1
1.425698337E0,-5.951213837E-2,-2.851963043E-3,1.007142067E-1
1.430758337E0,-6.539988518E-2,-1.234006882E-2,5.493593216E-2
1.435818337E0,-8.552777767E-2,1.907348633E-3,7.851171494E-2
1.440878337E0,-8.654880524E-2,6.422042847E-3,6.872272491E-2
1.445938337E0,-1.043357849E-1,2.513837814E-2,4.711389542E-2
1.450998337E0,-6.986081600E-2,1.760053635E-2,3.274440765E-2
1.456058337E0,-4.771530628E-2,1.501131058E-2,7.533931732E-2
1.461118337E0,-2.585148811E-2,7.614135742E-3,4.161262512E-2
1.466178337E0,-1.614320278E-2,1.214694977E-2,4.140853882E-2
1.471238337E0,-6.441235542E-3,2.313613892E-3,6.742620468E-2
1.476298337E0,-2.777075768E-2,2.566576004E-2,4.821825027E-2
1.481358337E0,-2.976894379E-2,2.734994888E-2,3.642225266E-2
1.486418337E0,-2.222585678E-2,3.602027893E-2,1.059484482E-2
1.491478337E0,-4.401206970E-4,3.982543945E-2,3.492212296E-2
1.496538337E0,4.406929016E-3,4.602098465E-2,1.145935059E-2
1.504044327E0,-2.888715267E-2,1.181745529E-2,1.664257050E-2
1.509123233E0,4.531502724E-3,-2.182531357E-2,3.575706482E-2
1.514200056E0,2.575635910E-2,-1.940488815E-2,1.417779922E-2
1.519276931E0,6.384134293E-3,-3.623962402E-4,3.551626205E-2
1.524353754E0,1.110529900E-2,-1.242971420E-2,4.253339767E-2
1.529434848E0,2.762961388E-2,-2.438783646E-2,-2.787113190E-3
1.534511879E0,5.924701691E-3,2.306318283E-2,-1.204299927E-2
1.539588910E0,1.053166389E-2,8.297920227E-3,1.446390152E-2
1.544665993E0,1.981484890E-2,1.738786697E-2,-4.372596741E-3
1.549756045E0,3.843224049E-2,2.399253845E-2,-1.354074478E-2
1.554833754E0,4.730272293E-2,-2.165746689E-2,-1.796150208E-2
1.559903025E0,7.981550694E-2,-5.743408203E-2,-3.897619247E-2
1.564963025E0,8.129847050E-2,-8.109521866E-2,-5.022621155E-2
1.570054014E0,5.902981758E-2,-7.120466232E-2,-8.997535706E-2
1.575140681E0,7.764065266E-2,-3.511476517E-2,-9.382343292E-2
1.580218389E0,8.924818039E-2,-1.828384399E-2,-1.118674278E-1
1.585296098E0,2.955365181E-2,-6.343364716E-3,-1.463737488E-1
1.590373806E0,-2.220690250E-2,-1.334333420E-2,-1.046514511E-1
1.595451462E0,-2.588737011E-2,-1.346111298E-3,-8.218526840E-2
1.600512295E0,-2.032613754E-2,3.185176849E-2,-8.841085434E-2
1.605589118E0,-3.859519958E-2,2.927923203E-2,-6.859207153E-2
1.610665993E0,-3.791248798E-2,3.871345520E-2,-5.621767044E-2
1.615742868E0,-6.610989571E-3,4.580593109E-2,-5.599355698E-2
1.620822035E0,7.691264153E-3,7.900714874E-3,-7.261228561E-2
1.625899066E0,3.128278255E-2,-2.239370346E-2,-3.226041794E-2
1.630976045E0,2.879607677E-2,-1.788139343E-4,-2.068519592E-2
1.636052973E0,2.177441120E-2,2.198791504E-2,2.397346497E-2
1.641132295E0,-4.212772846E-2,2.725219727E-2,5.648374557E-2
1.646209379E0,-6.518232822E-2,4.668331146E-2,7.924365997E-2
1.651286462E0,-5.971968174E-2,3.736591339E-2,9.234046936E-2
1.656363598E0,-6.852173805E-2,2.097654343E-2,1.006078720E-1
